都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
33,岡山県,オカヤマケン,1,岡山市,オカヤマシ,34.6555312,133.919795
33,岡山県,オカヤマケン,2,倉敷市,クラシキシ,34.5849782,133.7719812
33,岡山県,オカヤマケン,3,津山市,ツヤマシ,35.0691643,134.0045802
33,岡山県,オカヤマケン,4,玉野市,タマノシ,34.4919653,133.9459812
33,岡山県,オカヤマケン,5,笠岡市,カサオカシ,34.5071564,133.5073882
33,岡山県,オカヤマケン,6,井原市,イバラシ,34.5976994,133.4637324
33,岡山県,オカヤマケン,7,総社市,ソウジヤシ,34.6728321,133.7465205
33,岡山県,オカヤマケン,8,高梁市,タカハシシ,34.7910378,133.6168529
33,岡山県,オカヤマケン,9,新見市,ニイミシ,34.9770399,133.4703448
33,岡山県,オカヤマケン,10,備前市,ビゼンシ,34.7451943,134.1881743
33,岡山県,オカヤマケン,11,瀬戸内市,セトウチシ,34.664903,134.0928408
33,岡山県,オカヤマケン,12,赤磐市,アカイワシ,34.7553712,134.0187579
33,岡山県,オカヤマケン,13,真庭市,マニワシ,35.0755545,133.752773
33,岡山県,オカヤマケン,14,美作市,ミマサカシ,35.0086247,134.148604
33,岡山県,オカヤマケン,15,浅口市,アサクチシ,34.5278237,133.5848277
33,岡山県,オカヤマケン,16,和気町,ワケチョウ,34.8028404,134.1574266
33,岡山県,オカヤマケン,17,早島町,ハヤシマチョウ,34.6008105,133.8283617
33,岡山県,オカヤマケン,18,里庄町,サトショウチョウ,34.5135585,133.5568533
33,岡山県,オカヤマケン,19,矢掛町,ヤカゲチョウ,34.6279819,133.5874206
33,岡山県,オカヤマケン,20,新庄村,シンジヨウソン,35.1794843,133.5677721
33,岡山県,オカヤマケン,21,鏡野町,カガミノチョウ,35.0917986,133.9329334
33,岡山県,オカヤマケン,22,勝央町,ショウオウチョウ,35.0418509,134.116168
33,岡山県,オカヤマケン,23,奈義町,ナギチョウ,35.1230307,134.1774711
33,岡山県,オカヤマケン,24,西粟倉村,ニシアワクラソン,35.1713738,134.3363377
33,岡山県,オカヤマケン,25,久米南町,クメナンチョウ,34.9292461,133.9608129
33,岡山県,オカヤマケン,26,美咲町,ミサキチョウ,34.9979457,133.9582143
33,岡山県,オカヤマケン,27,吉備中央町,キビチュウオウチョウ,34.8634781,133.6935381
